Date,Open,High,Low,Close,Adj Close,Volume
2005-03-30,"1,980.07","2,005.67","1,980.07","2,005.67","2,005.67","1,753,610,000"
2005-03-29,"1,990.27","2,002.65","1,968.58","1,973.88","1,973.88","1,797,840,000"
2005-03-28,"1,998.76","2,005.49","1,992.52","1,992.52","1,992.52","1,487,620,000"
2005-03-24,"1,997.48","2,008.63","1,991.06","1,991.06","1,991.06","1,697,930,000"
2005-03-23,"1,985.49","1,999.43","1,985.22","1,990.22","1,990.22","1,741,150,000"
2005-03-22,"2,007.72","2,017.66","1,988.86","1,989.34","1,989.34","1,805,950,000"
2005-03-21,"2,008.16","2,011.39","1,993.76","2,007.51","2,007.51","1,611,000,000"
2005-03-18,"2,018.41","2,020.40","1,999.98","2,007.79","2,007.79","2,106,980,000"
2005-03-17,"2,016.91","2,023.67","2,010.52","2,016.42","2,016.42","1,745,120,000"
2005-03-16,"2,028.29","2,037.96","2,011.67","2,015.75","2,015.75","1,969,690,000"
2005-03-15,"2,057.17","2,059.07","2,034.41","2,034.98","2,034.98","1,838,790,000"
2005-03-14,"2,043.64","2,051.04","2,037.41","2,051.04","2,051.04","1,707,720,000"
2005-03-11,"2,063.56","2,069.40","2,036.41","2,041.60","2,041.60","1,792,090,000"
2005-03-10,"2,065.09","2,067.21","2,042.02","2,059.72","2,059.72","1,825,790,000"
2005-03-09,"2,070.85","2,079.37","2,060.23","2,061.29","2,061.29","1,895,520,000"
2005-03-08,"2,087.11","2,095.74","2,072.59","2,073.55","2,073.55","1,696,700,000"
2005-03-07,"2,073.90","2,100.57","2,073.82","2,090.21","2,090.21","1,949,190,000"
2005-03-04,"2,071.15","2,078.14","2,064.93","2,070.61","2,070.61","1,829,190,000"
2005-03-03,"2,073.33","2,074.71","2,047.92","2,058.40","2,058.40","1,895,880,000"
2005-03-02,"2,060.30","2,084.15","2,057.22","2,067.50","2,067.50","2,004,470,000"
2005-03-01,"2,057.47","2,073.74","2,057.19","2,071.25","2,071.25","1,941,180,000"
2005-02-28,"2,058.28","2,066.53","2,038.77","2,051.72","2,051.72","2,130,140,000"
2005-02-25,"2,050.49","2,065.40","2,047.23","2,065.40","2,065.40","1,771,200,000"
2005-02-24,"2,028.43","2,051.81","2,023.00","2,051.70","2,051.70","2,031,880,000"
2005-02-23,"2,039.55","2,040.84","2,024.64","2,031.25","2,031.25","1,878,450,000"
2005-02-22,"2,046.18","2,064.67","2,030.17","2,030.32","2,030.32","2,056,220,000"
2005-02-18,"2,065.15","2,068.89","2,056.20","2,058.62","2,058.62","1,614,160,000"
2005-02-17,"2,088.67","2,093.68","2,061.34","2,061.34","2,061.34","1,950,460,000"
2005-02-16,"2,082.46","2,093.37","2,079.37","2,087.43","2,087.43","1,865,070,000"
2005-02-15,"2,083.64","2,103.45","2,081.46","2,089.21","2,089.21","2,071,590,000"
2005-02-14,"2,076.75","2,085.12","2,074.81","2,082.91","2,082.91","1,639,640,000"
2005-02-11,"2,048.96","2,081.48","2,039.72","2,076.66","2,076.66","2,163,630,000"
2005-02-10,"2,058.53","2,059.65","2,040.04","2,053.10","2,053.10","2,085,500,000"
