Date,Open,High,Low,Close,Adj Close,Volume
2020-03-10,0.5000,0.52,0.5,0.51,0.51,"2,309,600"
2020-03-09,0.5100,0.51,0.48,0.49,0.49,"2,218,100"
2020-03-06,0.5300,0.57,0.51,0.54,0.54,"1,624,800"
2020-03-05,0.5400,0.59,0.53,0.54,0.54,"2,269,300"
2020-03-04,0.5000,0.53,0.5,0.53,0.53,"2,499,100"
2020-03-03,0.5000,0.5,0.48,0.49,0.49,"1,213,800"
2020-03-02,0.5000,0.5,0.47,0.49,0.49,"1,791,900"
2020-02-28,0.4500,0.54,0.44,0.51,0.51,"2,751,400"
2020-02-27,0.5100,0.51,0.46,0.46,0.46,"3,106,400"
2020-02-26,0.5500,0.55,0.51,0.52,0.52,"2,199,100"
2020-02-25,0.5700,0.57,0.55,0.56,0.56,"2,254,900"
2020-02-24,0.5900,0.6,0.55,0.57,0.57,"1,722,700"
2020-02-21,0.6300,0.63,0.59,0.59,0.59,"1,582,000"
2020-02-20,0.5900,0.63,0.59,0.62,0.62,"1,699,700"
2020-02-19,0.6000,0.6,0.58,0.59,0.59,"1,225,200"
2020-02-18,0.5800,0.6,0.58,0.6,0.6,"868,200"
2020-02-14,0.6000,0.6,0.58,0.58,0.58,"1,318,500"
2020-02-13,0.6200,0.62,0.59,0.6,0.6,"1,389,600"
2020-02-12,0.6400,0.64,0.59,0.61,0.61,"1,653,000"
2020-02-11,0.6200,0.67,0.59,0.6,0.6,"3,237,600"
2020-02-10,0.6500,0.72,0.65,0.71,0.71,"2,070,500"
2020-02-07,0.6600,0.66,0.61,0.63,0.63,"812,100"
2020-02-06,0.6500,0.67,0.64,0.65,0.65,"856,200"
2020-02-05,0.6500,0.67,0.63,0.66,0.66,"753,900"
2020-02-04,0.6700,0.67,0.63,0.63,0.63,"846,700"
2020-02-03,0.6700,0.67,0.65,0.65,0.65,"726,100"
2020-01-31,0.6700,0.67,0.65,0.65,0.65,"1,148,900"
2020-01-30,0.6800,0.68,0.66,0.67,0.67,"1,017,700"
2020-01-29,0.7000,0.71,0.67,0.69,0.69,"1,245,800"
2020-01-28,0.6900,0.71,0.68,0.71,0.71,"606,000"
2020-01-27,0.7100,0.71,0.68,0.68,0.68,"1,566,300"
2020-01-24,0.7100,0.71,0.7,0.7,0.7,"945,300"
2020-01-23,0.7000,0.72,0.7,0.71,0.71,"1,688,400"
2020-01-22,0.7100,0.72,0.69,0.71,0.71,"801,100"
2020-01-21,0.7300,0.73,0.7,0.71,0.71,"1,119,800"
2020-01-17,0.7200,0.73,0.71,0.71,0.71,"672,400"
2020-01-16,0.7100,0.73,0.69,0.73,0.73,"1,066,200"
2020-01-15,0.7000,0.72,0.7,0.71,0.71,"1,039,200"
2020-01-14,0.7100,0.73,0.68,0.7,0.7,"1,259,500"
2020-01-13,0.6800,0.73,0.66,0.72,0.72,"2,409,800"
2020-01-10,0.7300,0.74,0.68,0.69,0.69,"3,066,900"
2020-01-09,0.7100,0.76,0.7,0.74,0.74,"3,078,400"
2020-01-08,0.7600,0.78,0.75,0.77,0.77,"1,073,900"
2020-01-07,0.7700,0.77,0.76,0.76,0.76,"888,100"
2020-01-06,0.7600,0.78,0.76,0.78,0.78,"774,200"
2020-01-03,0.7800,0.79,0.76,0.77,0.77,"755,500"
2020-01-02,0.7800,0.79,0.77,0.79,0.79,"606,900"
2019-12-31,0.7800,0.78,0.76,0.78,0.78,"1,056,200"
2019-12-30,0.8000,0.8,0.77,0.78,0.78,"1,403,700"
2019-12-27,0.8000,0.82,0.79,0.8,0.8,"924,500"
2019-12-26,0.8000,0.82,0.79,0.8,0.8,"1,076,300"
2019-12-24,0.8100,0.82,0.78,0.8,0.8,"930,800"
2019-12-23,0.7600,0.79,0.76,0.78,0.78,"1,139,500"
2019-12-20,0.7700,0.78,0.75,0.76,0.76,"3,401,400"
2019-12-19,0.7500,0.79,0.75,0.78,0.78,"944,400"
2019-12-18,0.7600,0.78,0.73,0.75,0.75,"1,413,700"
2019-12-17,0.7700,0.79,0.75,0.75,0.75,"1,350,600"
2019-12-16,0.7900,0.8,0.77,0.77,0.77,"1,089,800"
2019-12-13,0.8000,0.81,0.79,0.8,0.8,"779,900"
2019-12-12,0.8000,0.82,0.8,0.81,0.81,"1,020,700"
2019-12-11,0.8000,0.81,0.8,0.81,0.81,"709,700"
2019-12-10,0.8000,0.81,0.79,0.8,0.8,"997,900"
2019-12-09,0.8100,0.81,0.79,0.79,0.79,"730,200"
2019-12-06,0.7900,0.81,0.79,0.79,0.79,"737,900"
2019-12-05,0.8100,0.81,0.79,0.79,0.79,"806,900"
2019-12-04,0.8200,0.82,0.8,0.81,0.81,"862,900"
2019-12-03,0.8100,0.83,0.8,0.8,0.8,"881,300"
2019-12-02,0.8300,0.83,0.79,0.8,0.8,"717,600"
2019-11-29,0.8000,0.83,0.78,0.83,0.83,"789,000"
2019-11-27,0.8200,0.82,0.79,0.8,0.8,"1,102,800"
2019-11-26,0.8200,0.83,0.79,0.8,0.8,"834,500"
2019-11-25,0.8300,0.84,0.81,0.83,0.83,"991,600"
2019-11-22,0.8100,0.83,0.8,0.83,0.83,"830,200"
2019-11-21,0.7900,0.82,0.78,0.81,0.81,"868,900"
2019-11-20,0.7700,0.8,0.77,0.78,0.78,"993,200"
2019-11-19,0.7900,0.8,0.77,0.78,0.78,"771,500"
2019-11-18,0.7900,0.79,0.77,0.79,0.79,"621,000"
2019-11-15,0.7700,0.8,0.75,0.79,0.79,"1,274,000"
2019-11-14,0.8000,0.81,0.76,0.77,0.77,"1,219,500"
2019-11-13,0.8000,0.84,0.79,0.8,0.8,"1,487,600"
2019-11-12,0.8200,0.82,0.79,0.81,0.81,"768,700"
2019-11-11,0.7800,0.82,0.78,0.82,0.82,"976,900"
2019-11-08,0.7900,0.79,0.77,0.78,0.78,"853,900"
2019-11-07,0.7700,0.8,0.77,0.8,0.8,"1,288,800"
2019-11-06,0.8000,0.8,0.77,0.77,0.77,"1,301,900"
2019-11-05,0.8000,0.82,0.79,0.81,0.81,"1,067,700"
2019-11-04,0.8300,0.84,0.8,0.82,0.82,"826,900"
2019-11-01,0.8100,0.84,0.8,0.84,0.84,"937,300"
2019-10-31,0.8400,0.84,0.79,0.81,0.81,"836,200"
2019-10-30,0.8500,0.86,0.81,0.83,0.83,"736,400"
2019-10-29,0.8500,0.9,0.83,0.85,0.85,"1,043,800"
2019-10-28,0.8300,0.85,0.81,0.85,0.85,"906,500"
2019-10-25,0.8100,0.85,0.8,0.81,0.81,"875,900"
2019-10-24,0.8200,0.83,0.81,0.82,0.82,"508,000"
2019-10-23,0.8200,0.83,0.81,0.82,0.82,"367,000"
2019-10-22,0.8300,0.84,0.81,0.81,0.81,"692,300"
2019-10-21,0.8200,0.85,0.82,0.84,0.84,"880,000"
2019-10-18,0.8400,0.84,0.81,0.83,0.83,"473,400"
2019-10-17,0.8400,0.84,0.81,0.84,0.84,"712,400"
2019-10-16,0.8100,0.86,0.81,0.84,0.84,"692,100"
2019-10-15,0.8200,0.84,0.81,0.84,0.84,"368,200"
2019-10-14,0.8300,0.83,0.81,0.82,0.82,"365,100"
2019-10-11,0.8400,0.85,0.82,0.83,0.83,"771,400"
2019-10-10,0.8300,0.84,0.82,0.82,0.82,"727,200"
2019-10-09,0.8700,0.88,0.8,0.83,0.83,"1,230,100"
2019-10-08,0.8800,0.89,0.85,0.85,0.85,"798,700"
2019-10-07,0.9000,0.9,0.86,0.86,0.86,"514,900"
2019-10-04,0.8800,0.92,0.85,0.88,0.88,"719,000"
2019-10-03,0.8700,0.89,0.85,0.89,0.89,"2,193,700"
2019-10-02,0.8900,0.89,0.85,0.87,0.87,"902,400"
2019-10-01,0.9400,0.94,0.88,0.88,0.88,"996,400"
2019-09-30,0.9000,0.95,0.89,0.91,0.91,"1,430,200"
2019-09-27,0.8700,0.91,0.86,0.89,0.89,"1,159,400"
2019-09-26,0.9100,0.94,0.85,0.87,0.87,"1,122,200"
2019-09-25,0.8900,0.91,0.88,0.9,0.9,"1,016,900"
2019-09-24,0.9100,0.92,0.89,0.89,0.89,"1,211,300"
2019-09-23,0.9500,0.95,0.92,0.92,0.92,"985,500"
2019-09-20,0.9400,0.98,0.93,0.94,0.94,"1,302,300"
2019-09-19,0.9700,0.99,0.94,0.94,0.94,"1,113,700"
2019-09-18,1.0200,1.03,0.94,0.95,0.95,"2,434,800"
2019-09-17,1.0700,1.08,1.02,1.02,1.02,"1,487,400"
2019-09-16,1.1000,1.13,1.06,1.07,1.07,"2,281,500"
2019-09-13,1.0100,1.06,1.0,1.06,1.06,"2,751,900"
2019-09-12,1.0400,1.06,1.0,1.0,1.0,"3,231,400"
2019-09-11,1.0400,1.05,0.99,0.99,0.99,"2,773,500"
2019-09-10,1.0000,1.02,0.99,1.01,1.01,"1,986,800"
2019-09-09,0.9300,1.01,0.9,0.99,0.99,"2,515,300"
2019-09-06,0.9000,0.92,0.89,0.91,0.91,"734,700"
2019-09-05,0.8800,0.89,0.87,0.89,0.89,"727,100"
2019-09-04,0.8900,0.9,0.88,0.88,0.88,"729,400"
2019-09-03,0.8900,0.9,0.89,0.89,0.89,"598,000"
2019-08-30,0.9000,0.92,0.88,0.9,0.9,"791,000"
2019-08-29,0.9000,0.92,0.88,0.9,0.9,"584,500"
2019-08-28,0.8800,0.93,0.88,0.9,0.9,"803,900"
2019-08-27,0.9000,0.92,0.88,0.89,0.89,"681,200"
2019-08-26,0.8900,0.91,0.88,0.9,0.9,"586,000"
2019-08-23,0.9100,0.93,0.87,0.88,0.88,"938,600"
2019-08-22,0.9100,0.94,0.9,0.91,0.91,"748,500"
2019-08-21,0.9200,0.93,0.9,0.91,0.91,"616,000"
2019-08-20,0.9100,0.92,0.9,0.91,0.91,"512,900"
2019-08-19,0.9300,0.94,0.9,0.91,0.91,"708,400"
2019-08-16,0.8800,0.93,0.88,0.93,0.93,"1,439,300"
2019-08-15,0.8700,0.89,0.86,0.88,0.88,"826,700"
2019-08-14,0.9100,0.93,0.87,0.88,0.88,"1,024,900"
2019-08-13,0.9400,0.96,0.89,0.91,0.91,"1,121,600"
2019-08-12,0.9400,0.94,0.88,0.92,0.92,"932,800"
2019-08-09,0.9000,0.94,0.88,0.93,0.93,"1,231,800"
2019-08-08,0.8900,0.93,0.87,0.91,0.91,"1,060,800"
